Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12
4.39,6.7,65.4,30.8,0.01,0.13,0.17,0.01,22,13.6,4,2
8.13,6.8,113.4,53.9,0.01,0.27,0.06,0.01,19,22.2,6,4
0.42,7,147.4,70.2,0.02,0.02,0.03,0.01,24,31,10,2
0.68,7.4,104.8,49.8,0,0.03,0.03,0.02,25,23.2,10,1
0.68,7.3,104.5,49.6,0,0.07,0.05,0.04,30,23.2,10,1
9.07,6.6,32.3,14.9,0.01,0.22,0.04,0.01,26,16.8,6,2
28.4,6.7,39,18.1,0.03,0.44,0.02,0.01,21,17.2,2,4
0.57,7.2,55.4,26,0.01,0.02,0,0.01,23,23.8,7,2
0.81,7.4,54.3,25.3,0.01,0,0,0.02,26,24,6,1
0.96,7.3,53.9,32,0.03,0.01,0.02,0.02,23,23.8,8,1
4.45,6.8,29.1,13.9,0.01,0.13,0.03,0.02,18,16.8,4,1
16.7,6.9,38.4,18.1,0.01,0.29,0.02,0.02,19.9,19.2,4,5
0.29,7.5,54.6,25.4,0.01,0.08,0,0.02,24.2,15.8,6,3
0.21,7.4,51.2,24.4,0.01,0.02,0.03,0.03,22.3,23.8,8,0
0.4,7.4,51.4,24.3,0.01,0.03,0.07,0.03,20.7,26.2,8,0
11.4,6.6,29.2,13.8,0.03,0.18,0.04,0,22.1,17.6,4,4
12.5,6.6,39.4,18.3,0.04,0.12,0.02,0,21.8,18.4,5,5
0.78,7,51.8,24.2,0.02,0,0,0,23.7,23.4,10,3
0.3,7.2,51.9,24.2,0.01,0,0.02,0,23.6,23.8,9,2
0.74,7.2,51.9,24.3,0.01,0,0.05,0,23.4,26.4,10,2
5.24,6.8,182.1,87,0.02,0.14,0.03,0.03,13.7,44,15,0
28.9,7,189.6,90.7,0.05,0.39,0.07,0.03,14.6,23.2,5,2
0.34,7.4,240,115.1,0.05,0.04,0.02,0.03,13.1,35.2,10,2
0.2,6.8,256,122.7,0.02,0.02,0.01,0.03,14.8,53.4,10,0
0.34,7.4,268,128.9,0.03,0.02,0.01,0.03,13.8,51.6,29,0
5.24,6.8,182.1,87,0.02,0.14,0.03,0.03,13.7,44,15,0
28.9,7,189.6,90.7,0.05,0.39,0.07,0.03,14.6,23.2,5,2
0.34,7.4,240,115.1,0.05,0.04,0.02,0.03,13.1,35.2,10,2
0.2,6.8,256,122.7,0.02,0.02,0.01,0.03,14.8,53.4,10,0
0.34,7.4,268,128.9,0.03,0.02,0.01,0.03,13.8,51.6,29,0
1.5,6.8,36.7,17,0.01,0.09,0.05,0,15.1,26.8,4,1
8.54,7,69,32.5,0.05,0.58,0.02,0.01,16.9,28.6,4,2
0.2,7.4,87.6,41.6,0.02,0.03,0.02,0.01,22.5,33.2,10,1
0.21,7.4,64,30,0.01,0.01,0.01,0.01,17.4,32.8,7,1
0.37,7.6,63.8,30,0.01,0.01,0.02,0.01,16.4,23.2,9,1
125,6.7,38.5,17.9,0.01,0.18,0.08,0.01,12.4,22.8,4,0
7.48,7.1,64.1,30.2,0.03,0.33,0,0.02,16.8,24,4,1
0.31,7.7,86.1,40.8,0.03,0.01,0,0.02,18.1,30.2,6,0
0.28,7.5,59.9,28.2,0.01,0,0,0.02,15.4,25.8,8,0
0.91,7.5,59.7,28.1,0.01,0,0,0.01,15.5,3.13,9,0
0.5,6.8,36,16.7,0.01,0.24,0.11,0.03,10.6,15.2,5,0
133,6.8,35.7,16.6,0.01,0.93,0,0.03,11.3,18.2,4,1
0.13,7.2,47.8,22.4,0.02,0.03,0.02,0.06,8.8,19.4,7,1
0.24,7.4,55.1,25.9,0.01,0.03,0.01,0.01,13.4,30.4,7,0
0.14,7.4,58.1,27.3,0.01,0.04,0.03,0.02,14,25.8,10,0
2.21,6.7,37.4,17.4,0,0.12,0.2,0.01,12.3,12.8,3,1
19.5,6.9,58.4,27.5,0.02,0.24,0.03,0.02,16.3,21.2,3,3
0.16,7.3,67.3,31.7,0.01,0.01,0.02,0.02,19,25.6,7,1
0.12,7.3,61.1,28.8,0.01,0.01,0,0.03,14.7,25.6,7,0
0.22,7.3,63.2,29.8,0,0.01,0.02,0.03,15.9,26.6,8,0
2.18,6.8,33.2,15.4,0.01,0.08,0,0,16,16.2,5,0
57.5,6.9,44.6,20.8,0.05,0.71,0.04,0.05,14.8,17,5,2
0.15,7.4,56.5,26.5,0.01,0,0,0,17.3,34.6,6,2
0.2,6.9,53.4,25,0.01,0.01,0,0,12.8,27.8,7,0
0.2,7,53.2,25,0.01,0,0,0.01,14,21,8,0
2.18,6.8,33.2,15.4,0.01,0.08,0,0,16,16.2,5,0
57.5,6.9,44.6,20.8,0.05,0.71,0.04,0.05,14.8,17,5,2
0.15,7.4,56.5,26.5,0.01,0,0,0,17.3,34.6,6,2
0.2,6.9,53.4,25,0.01,0.01,0,0,12.8,27.8,7,0
0.2,7,53.2,25,0.01,0,0,0.01,14,21,8,0
1.41,6.5,32.5,15,0.01,0.08,0,0.01,19.9,23.8,1,0
9.05,6.9,46,21.5,0.01,0.29,0.02,0.01,23.2,16.4,4,1
0.14,7.3,57.2,26.9,0.01,0.02,0.01,0.01,24.8,21.4,6,1
0.22,7.2,51.5,24.1,0.01,0,0,0.01,19,13.4,6,0
0.3,7.2,48.7,22.8,0.01,0.01,0.03,0.01,20.2,21.2,8,0
